Name,Image Number,Path
miltank13,0,datasets/pokesprites/0.png
ponyta8,1,datasets/pokesprites/1.png
piloswine74,2,datasets/pokesprites/2.png
toxicroak10,3,datasets/pokesprites/3.png
amoonguss1,4,datasets/pokesprites/4.png
weezing16,5,datasets/pokesprites/5.png
kyogre25,6,datasets/pokesprites/6.png
noctowl46,7,datasets/pokesprites/7.png
growlithe56,8,datasets/pokesprites/8.png
goldeen86,9,datasets/pokesprites/9.png
regigigas31,10,datasets/pokesprites/10.png
raikou37,11,datasets/pokesprites/11.png
wingull10,12,datasets/pokesprites/12.png
aggron22,13,datasets/pokesprites/13.png
kabutops43,14,datasets/pokesprites/14.png
poliwag0,15,datasets/pokesprites/15.png
jolteon71,16,datasets/pokesprites/16.png
chimchar12,17,datasets/pokesprites/17.png
gliscor29,18,datasets/pokesprites/18.png
dragonair2,19,datasets/pokesprites/19.png
pidgeotto58,20,datasets/pokesprites/20.png
butterfree19,21,datasets/pokesprites/21.png
kangaskhan52,22,datasets/pokesprites/22.png
vibrava16,23,datasets/pokesprites/23.png
hitmonlee67,24,datasets/pokesprites/24.png
nidorino52,25,datasets/pokesprites/25.png
oddish6,26,datasets/pokesprites/26.png
sableye15,27,datasets/pokesprites/27.png
articuno45,28,datasets/pokesprites/28.png
tyranitar43,29,datasets/pokesprites/29.png
cradily22,30,datasets/pokesprites/30.png
magnezone23,31,datasets/pokesprites/31.png
pineco28,32,datasets/pokesprites/32.png
ducklett12,33,datasets/pokesprites/33.png
electabuzz41,34,datasets/pokesprites/34.png
diglett67,35,datasets/pokesprites/35.png
psyduck12,36,datasets/pokesprites/36.png
crobat60,37,datasets/pokesprites/37.png
pichu56,38,datasets/pokesprites/38.png
shuckle43,39,datasets/pokesprites/39.png
krabby36,40,datasets/pokesprites/40.png
unown379,41,datasets/pokesprites/41.png
machop35,42,datasets/pokesprites/42.png
prinplup5,43,datasets/pokesprites/43.png
beedrill9,44,datasets/pokesprites/44.png
voltorb61,45,datasets/pokesprites/45.png
magneton31,46,datasets/pokesprites/46.png
cascoon28,47,datasets/pokesprites/47.png
pidgeotto11,48,datasets/pokesprites/48.png
flareon33,49,datasets/pokesprites/49.png
houndour35,50,datasets/pokesprites/50.png
toucannon3,51,datasets/pokesprites/51.png
cloyster20,52,datasets/pokesprites/52.png
ho-oh29,53,datasets/pokesprites/53.png
emolga11,54,datasets/pokesprites/54.png
luxray22,55,datasets/pokesprites/55.png
hypno24,56,datasets/pokesprites/56.png
vileplume39,57,datasets/pokesprites/57.png
deerling15,58,datasets/pokesprites/58.png
muk23,59,datasets/pokesprites/59.png
diglett58,60,datasets/pokesprites/60.png
jigglypuff21,61,datasets/pokesprites/61.png
sudowoodo70,62,datasets/pokesprites/62.png
golduck8,63,datasets/pokesprites/63.png
swinub5,64,datasets/pokesprites/64.png
gabite57,65,datasets/pokesprites/65.png
corsola25,66,datasets/pokesprites/66.png
gible11,67,datasets/pokesprites/67.png
unown251,68,datasets/pokesprites/68.png
hippowdon18,69,datasets/pokesprites/69.png
machop64,70,datasets/pokesprites/70.png
registeel20,71,datasets/pokesprites/71.png
granbull12,72,datasets/pokesprites/72.png
glalie1,73,datasets/pokesprites/73.png
